establecimiento_id,establecimiento_nombre_comercial,direccion,direccion_municipio_nombre,direccion_localidad_nombre,direccion_codigo_postal,numero_dormitorios_individuales_,numero_dormitorios_dobles_explot,plazas,longitud,latitud
A-38-4-0001143,El Medano - Los Balos,"C/ La Gaviota, 25, Res. Los Balos, Vivienda 28",Granadilla De Abona,Medano (El),38612,0,0,2,-16.542429,28.042233
A-38-4-0001144,El Medano - Los Balos,"C/ La Gaviota, 25, Res. Los Balos, Vivienda 22",Granadilla De Abona,Medano (El),38612,0,0,6,-16.542429,28.042233
A-38-4-0001145,El Medano - Los Balos,"C/ La Gaviota, 25, Res. Los Balos, Vivienda 16",Granadilla De Abona,Medano (El),38612,0,0,4,-16.542429,28.042233
A-38-4-0001146,Rentonthebeach,"Paseo Las Vistas, 2, Edf. Cantabria, 2º, Appto. 1",Arona,Cristianos (Los),38650,0,2,8,-16.720926,28.05073
A-38-4-0001147,Rentonthebeach,"Paseo Las Vistas, 2, Edf. Cantabria, 2º, Appto. 2",Arona,Cristianos (Los),38650,0,2,8,-16.720926,28.05073
A-38-4-0001148,Rentonthebeach,"Paseo Las Vistas, 2, Edf. Cantabria, 2º, Appto. 4",Arona,Cristianos (Los),38650,0,2,8,-16.720926,28.05073
A-38-4-0001149,Rentonthebeach,"Paseo Las Vistas, 2, Edf. Cantabria, 2º, Appto. 3",Arona,Cristianos (Los),38650,0,2,8,-16.720926,28.05073
A-38-4-0001150,Sin Denominacion,"C/ Arico, 10, Bajo A (Las Listadas)",Arico,Arico,38588,0,0,6,-16.461887,28.122816
A-38-4-0001152,Casa Yoel,"C/ Tagoro, 13, 1º Appto. B",Granadilla De Abona,Granadilla De Abona,38600,0,0,6,-16.578121,28.127647
A-38-4-0001154,Centro De La Ciudad,"C/ Luis Vives, 3",Santa Cruz Tenerife,Santa Cruz De Tenerife,38005,0,0,6,-16.257048,28.462233
A-38-4-0001155,Piso Deluxe / Piscina,"C/ Doctor Francisco Trujillo Castro, 2, Edf. Patricia, 5ºd",Santa Cruz Tenerife,Santa Cruz De Tenerife,38001,0,0,6,-16.246162,28.482666
A-38-4-0001156,La Pardela,"Paseo Las Pardelas, Nº 1, Bloque 1, Esc. 1. Piso 1º, Puerta 1",Granadilla De Abona,Medano (El),38612,0,0,5,-16.541553,28.042667
A-38-4-0001159,Gorvorana Ii-23,"C/ La Gorvorana 23, 2, Vivienda 23 38410    , Longuera-Toscal, Los Realejos, Tenerife",Los Realejos,Longuera-Toscal,38410,0,4,8,-16.571922,28.397097
A-38-4-0001161,Sin Denominacion,"Avda. Maritima, 135, Edf. Carmen I, Vivienda 44",Candelaria,Caletillas (Las),38520,0,0,4,-16.362747,28.371922
A-38-4-0001162,Sin Denominacion,"Avda. Roma, 35",El Sauzal,Sauzal (El),38360,0,0,2,-16.4522,28.465397
A-38-4-0001174,Casa Piva,"Paseo Maritimo, 11, Edf. Carmen, Vda. 409",Arona,Cristianos (Los),38650,0,0,3,-16.71365,28.049517
A-38-4-0001175,Casa Anita,"Urb. Llanos Del Poris, 15, Vivienda 7",Arico,Poris De Abona,38588,0,0,4,-16.42745,28.165358
A-38-4-0001176,Sin Denominacion,"C/ La Gomera, 4 - Urb. Parque Atlantico",Tacoronte,Pris (El),38358,0,0,6,-16.417431,28.512695
A-38-4-0001177,San Benito,"C/ Trinidad, 2",Los Realejos,San Benito,38419,0,0,8,-16.57922,28.383856
A-38-4-0001178,Casa Tagoto,Pasaje Tindaya 9,Tacoronte,_U,38358,3,1,5,0,0
A-38-4-0001179,Mirador El Palm-Mar,"C/ El Mirlo, 8",Arona,Palm-Mar,38632,0,0,6,-16.701828,28.023584
